COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
AUS,Australia,1673.4,53971.597460000005,320917.6,1349300000000.0,0.0,0.0,3.1449355310000002,0.0,2016
AUT,Austria,1512.0,50906.020280000004,166333.5,421989000000.0,0.0,0.0,105.86949340000001,0.0,2016
BEL,Belgium,1545.0,51951.715,221315.7,516766000000.0,0.0,0.0,374.22133419999994,0.0,2016
CHE,Switzerland,1589.7,64063.942489999994,134175.89999999997,644197000000.0,0.0,0.0,211.8974034,0.0,2016
CHL,Chile,1974.0,27655.34315,212923.30000000002,267904000000.0,0.0,0.0,24.08740074,0.0,2016
CZE,Czech Republic,1779.0,24778.2455,221372.90000000002,231018000000.0,0.0,0.0,136.8341362,0.0,2016
DEU,Germany,1362.8,48709.63953,1827480.5,3801860000000.0,0.0,0.0,235.71292940000004,0.0,2016
ESP,Spain,1701.5,39860.34697,825854.5000000001,1466070000000.0,0.0,98.25051117,93.04827901,0.0,2016
EST,Estonia,1791.0,24691.29576,37222.6,24194442664.0,0.0,0.0,30.2689211,0.0,2016
FIN,Finland,1560.0,43968.93163,113162.29999999999,255195000000.0,0.0,0.0,18.08200783,0.0,2016
GBR,United Kingdom,1545.0,44465.81826,1199446.5,2768240000000.0,0.0,0.0,271.134481,0.0,2016
GRC,Greece,1942.0,26506.09185,243478.7,244251000000.0,0.0,0.0,83.5994647,0.0,2016
HUN,Hungary,1760.0,21077.55692,261443.6,147526000000.0,0.0,0.0,108.40630729999998,0.0,2016
ISL,Iceland,1494.0,58131.149529999995,8888.3,16835179721.0,0.0,0.0,3.3460249380000002,0.0,2016
ISR,Israel,1922.08,35701.37218,91515.29999999999,289193000000.0,38.9,0.0,394.9168207,0.0,2016
JPN,Japan,1714.0,40304.55493,2620338.8,6052670000000.0,0.0,0.0,348.350096,0.0,2016
LTU,Lithuania,1644.0,23933.49993,90125.70000000001,45732868896.0,0.0,0.0,45.78766499,0.0,2016
LUX,Luxembourg,1513.0,64453.11023,11923.199999999999,62554580195.0,0.0,0.0,239.51193419999998,0.0,2016
MEX,Mexico,2146.0,16135.64876,1347070.5,1258560000000.0,43.4,94.85961914,65.60890095,0.0,2016
NLD,Netherlands,1438.0,55131.595,302904.60000000003,897959000000.0,0.0,0.0,505.50056399999994,0.0,2016
NOR,Norway,1424.4,50207.05948,85673.7,473214000000.0,0.0,0.0,14.3363165,0.0,2016
POL,Poland,1836.0,25956.36995,781998.4,573324000000.0,30.8,0.0,124.008253,0.0,2016
PRT,Portugal,1725.0,25349.78641,227534.30000000002,232444000000.0,0.0,0.0,112.71638940000001,0.0,2016
SWE,Sweden,1482.0,43735.727419999996,187046.1,557637000000.0,0.0,0.0,24.36248803,0.0,2016
USA,United States,1781.0,62153.12401,5493566.7,16972300000000.0,41.5,0.0,35.31830199,0.0,2016
