COU,Country,Year,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality
FRA,France,2006,1515.0,40236.67001,515952.0
FRA,France,2007,1537.0,40386.83355,520535.0
FRA,France,2008,1543.0,40308.40836,532474.0
FRA,France,2009,1531.0,41589.72718,537197.0
FRA,France,2010,1540.0,42435.38246,541576.0
FRA,France,2011,1546.0,42370.29756,536628.0
FRA,France,2012,1541.0,42654.36826,558452.0
FRA,France,2013,1526.0,43012.54154,556031.0
FRA,France,2014,1518.0,43308.84587,544618.0
FRA,France,2015,1519.0,43731.65687,579891.0
FRA,France,2016,1526.0,44220.25463,
FRA,France,2017,1522.0,44469.020580000004,
FRA,France,2018,1520.0,44510.133180000004,
DEU,Germany,2000,1452.0,43316.40873,838797.0
DEU,Germany,2001,1441.9,43748.44029,828541.0
DEU,Germany,2002,1430.9,43977.45215,841686.0
DEU,Germany,2003,1424.8,43920.00937,853946.0
DEU,Germany,2004,1422.2,43917.72821,818271.0
DEU,Germany,2005,1411.3,43840.69528,830227.0
DEU,Germany,2006,1424.7,43876.66537,821627.0
DEU,Germany,2007,1424.4,43802.056730000004,827155.0
DEU,Germany,2008,1418.4,44079.149560000005,844439.0
DEU,Germany,2009,1372.7,44253.62997,854544.0
DEU,Germany,2010,1389.9,44451.21699,858768.0
DEU,Germany,2011,1392.8,45209.41817,852328.0
DEU,Germany,2012,1375.0,45725.15818,869582.0
DEU,Germany,2013,1362.7,46277.16566,893825.0
DEU,Germany,2014,1366.9,47010.04711,868356.0
DEU,Germany,2015,1369.8,48034.59454,925200.0
DEU,Germany,2016,1362.8,48709.63953,910899.0
DEU,Germany,2017,1360.4,49161.09391,
DEU,Germany,2018,1362.6,49813.20012,
GRC,Greece,2000,2016.0,27408.95279,105170.0
GRC,Greece,2001,2010.0,27963.29377,102559.0
GRC,Greece,2002,2002.0,30555.517260000004,103915.0
GRC,Greece,2003,2001.0,31886.08838,105529.0
GRC,Greece,2004,1992.0,32458.14087,104942.0
GRC,Greece,2005,2044.0,32359.28144,105091.0
GRC,Greece,2006,2033.0,32747.182139999997,104968.0
GRC,Greece,2007,2019.0,32739.6593,109895.0
GRC,Greece,2008,2015.0,32246.40795,107979.0
GRC,Greece,2009,1991.0,33761.80093,108316.0
GRC,Greece,2010,1932.0,31510.05117,109084.0
GRC,Greece,2011,1949.0,29445.28719,111099.0
GRC,Greece,2012,1966.0,28108.0392,116668.0
GRC,Greece,2013,1970.0,26289.756230000003,111794.0
GRC,Greece,2014,1933.0,26803.24237,113740.0
GRC,Greece,2015,1943.0,26585.0661,121485.0
GRC,Greece,2016,1942.0,26506.09185,118952.0
GRC,Greece,2017,1956.0,26486.310019999997,
GRC,Greece,2018,1956.0,26670.95427,
HUN,Hungary,2000,1845.0,16094.06706,135601.0
HUN,Hungary,2001,1809.0,17257.90031,132183.0
HUN,Hungary,2002,1820.0,18114.64825,132833.0
HUN,Hungary,2003,1795.0,19807.60237,135823.0
HUN,Hungary,2004,1802.0,21014.32354,132492.0
HUN,Hungary,2005,1803.0,21860.826380000002,135732.0
HUN,Hungary,2006,1800.0,22284.397090000002,131603.0
HUN,Hungary,2007,1795.0,21951.65941,132938.0
HUN,Hungary,2008,1798.0,22199.46976,130027.0
HUN,Hungary,2009,1781.0,21364.512319999998,130414.0
HUN,Hungary,2010,1777.0,21617.7991,130456.0
HUN,Hungary,2011,1769.9,21604.24091,128795.0
HUN,Hungary,2012,1750.0,20852.274080000003,129440.0
HUN,Hungary,2013,1744.6,20893.44423,126778.0
HUN,Hungary,2014,1751.7,20707.45771,126308.0
HUN,Hungary,2015,1748.7,20150.148240000002,131697.0
HUN,Hungary,2016,1760.0,21077.55692,127053.0
HUN,Hungary,2017,1741.3,22492.67745,131674.0
HUN,Hungary,2018,1741.1,24454.71079,
ISL,Iceland,2000,1699.0,48486.6511,1828.0
ISL,Iceland,2001,1710.0,48201.87788,1725.0
ISL,Iceland,2002,1675.0,49586.08749,1822.0
ISL,Iceland,2003,1642.0,48307.49701,1826.0
ISL,Iceland,2004,1648.0,51577.520430000004,1824.0
ISL,Iceland,2005,1640.0,55607.2683,1837.0
ISL,Iceland,2006,1630.0,58094.699570000004,1903.0
ISL,Iceland,2007,1608.0,59636.163420000004,1943.0
ISL,Iceland,2008,1610.0,52850.92815,1987.0
ISL,Iceland,2009,1523.0,44701.05963,2002.0
ISL,Iceland,2010,1514.0,45951.92989,2019.0
ISL,Iceland,2011,1524.0,48156.17722,1988.0
ISL,Iceland,2012,1510.0,48049.69794,1955.0
ISL,Iceland,2013,1510.0,48858.15059,2158.0
ISL,Iceland,2014,1503.0,49471.50415,2048.0
ISL,Iceland,2015,1504.0,53261.71745,2182.0
ISL,Iceland,2016,1494.0,58131.149529999995,2310.0
ISL,Iceland,2017,1483.0,64415.10845,2236.0
ISL,Iceland,2018,1469.0,66504.28117,
IRL,Ireland,2000,1826.0,36665.93023,31391.0
IRL,Ireland,2001,1818.0,37896.95787,30212.0
IRL,Ireland,2002,1800.0,38086.79817,29683.0
IRL,Ireland,2003,1783.0,39057.02587,29074.0
IRL,Ireland,2004,1772.0,40126.434239999995,28665.0
IRL,Ireland,2005,1780.0,41794.351389999996,28260.0
IRL,Ireland,2006,1776.0,42255.593689999994,28482.0
IRL,Ireland,2007,1763.0,43479.094189999996,28117.0
IRL,Ireland,2008,1743.0,44888.38425,28274.0
IRL,Ireland,2009,1713.0,48159.97881,28898.0
IRL,Ireland,2010,1702.0,48697.70833,27122.0
IRL,Ireland,2011,1702.0,48764.65687,28456.0
IRL,Ireland,2012,1707.0,48153.35402,29186.0
IRL,Ireland,2013,1720.0,46724.76237,29504.0
IRL,Ireland,2014,1731.0,46314.707930000004,29252.0
IRL,Ireland,2015,1741.0,47244.93408,30127.0
IRL,Ireland,2016,1739.0,47709.02246,
IRL,Ireland,2017,1738.0,47302.779160000006,
IRL,Ireland,2018,1782.0,47951.85243,
ITA,Italy,2000,1850.8,37144.63962,560121.0
ITA,Italy,2001,1837.8,37332.08164,556892.0
ITA,Italy,2002,1826.6,37078.44335,560390.0
ITA,Italy,2003,1815.8,37038.101969999996,588897.0
ITA,Italy,2004,1815.3,37796.24783,545051.0
ITA,Italy,2005,1812.1,38222.73451,568328.0
ITA,Italy,2006,1812.6,38484.53565,558614.0
ITA,Italy,2007,1818.2,38448.92455,572881.0
ITA,Italy,2008,1807.0,38488.64521,581470.0
ITA,Italy,2009,1775.7,38680.94242,588438.0
ITA,Italy,2010,1777.3,39051.105339999995,584615.0
ITA,Italy,2011,1773.3,38438.74635,594153.0
ITA,Italy,2012,1734.2,37279.12066,613520.0
ITA,Italy,2013,1719.5,37338.27385,599698.0
ITA,Italy,2014,1717.1,37481.9106,598670.0
ITA,Italy,2015,1718.0,37793.07676,646048.0
ITA,Italy,2016,1721.7,38059.94919,
ITA,Italy,2017,1719.0,37696.6486,
ITA,Italy,2018,1722.6,37751.93464,
JPN,Japan,2000,1821.0,40467.68554,961653.0
JPN,Japan,2001,1809.0,39960.97308,970331.0
JPN,Japan,2002,1798.0,39150.52085,982379.0
JPN,Japan,2003,1799.0,39186.70023,1014951.0
JPN,Japan,2004,1787.0,39489.77117,1028602.0
JPN,Japan,2005,1775.0,40173.19049,1083796.0
JPN,Japan,2006,1784.0,39933.0052,1084450.0
JPN,Japan,2007,1785.0,39872.609189999996,1108334.0
JPN,Japan,2008,1771.0,39847.98717,1142407.0
JPN,Japan,2009,1714.0,39470.26526,1141865.0
JPN,Japan,2010,1733.0,40175.19119,1197012.0
JPN,Japan,2011,1728.0,41082.06978,1253066.0
JPN,Japan,2012,1745.0,40380.393280000004,1256359.0
JPN,Japan,2013,1734.0,40352.78811,1268436.0
JPN,Japan,2014,1729.0,39633.251939999995,1273004.0
JPN,Japan,2015,1719.0,39591.57293,1290444.0
JPN,Japan,2016,1714.0,40304.55493,1307748.0
JPN,Japan,2017,1709.0,40510.00917,
JPN,Japan,2018,1680.0,40573.37765,
KOR,Korea,2008,2228.0,34272.212510000005,246113.0
KOR,Korea,2009,2174.0,34361.810339999996,246942.0
KOR,Korea,2010,2163.0,34955.58457,255405.0
KOR,Korea,2011,2136.0,35294.648369999995,257396.0
KOR,Korea,2012,2119.0,34864.203089999995,267221.0
KOR,Korea,2013,2106.0,35528.79125,266257.0
KOR,Korea,2014,2076.0,35321.09682,267692.0
KOR,Korea,2015,2083.0,35949.114160000005,275895.0
KOR,Korea,2016,2068.0,37165.05484,280827.0
KOR,Korea,2017,2018.0,37849.39327,
KOR,Korea,2018,1993.0,39471.71192,
LUX,Luxembourg,2000,1603.0,55448.99295,3623.0
LUX,Luxembourg,2001,1585.0,56086.7288,3587.0
LUX,Luxembourg,2002,1581.0,57255.518220000005,3603.0
LUX,Luxembourg,2003,1579.0,56987.12256,3930.0
LUX,Luxembourg,2004,1578.0,57767.52474,3424.0
LUX,Luxembourg,2005,1550.0,57822.11814,3481.0
LUX,Luxembourg,2006,1552.0,58620.78201,3623.0
LUX,Luxembourg,2007,1566.0,60156.87254,3691.0
LUX,Luxembourg,2008,1567.0,59918.881429999994,3434.0
LUX,Luxembourg,2009,1517.0,61588.272079999995,3530.0
LUX,Luxembourg,2010,1517.0,62131.56237000001,3621.0
LUX,Luxembourg,2011,1515.0,61213.34102000001,3722.0
LUX,Luxembourg,2012,1508.0,60707.10622,3721.0
LUX,Luxembourg,2013,1503.0,61305.47504,3671.0
LUX,Luxembourg,2014,1506.0,63606.706139999995,3705.0
LUX,Luxembourg,2015,1514.0,64551.54632,3839.0
LUX,Luxembourg,2016,1513.0,64453.11023,3858.0
LUX,Luxembourg,2017,1507.0,65890.9974,
LUX,Luxembourg,2018,1506.0,65448.61195,
MEX,Mexico,2000,2174.0,15904.75411,437555.0
MEX,Mexico,2001,2146.0,16811.84558,440664.0
MEX,Mexico,2002,2196.0,16747.58813,457364.0
MEX,Mexico,2003,2143.0,17039.27709,470330.0
MEX,Mexico,2004,2123.0,17139.208919999997,471475.0
MEX,Mexico,2005,2105.0,17244.56717,493811.0
MEX,Mexico,2006,2067.0,17217.98024,493156.0
MEX,Mexico,2007,2045.0,17283.73587,501919.0
MEX,Mexico,2008,2105.0,17150.17199,536170.0
MEX,Mexico,2009,1973.0,17268.95905,550756.0
MEX,Mexico,2010,2150.0,16183.105609999999,578277.0
MEX,Mexico,2011,2121.0,16328.236640000001,576156.0
MEX,Mexico,2012,2120.0,16050.29823,587353.0
MEX,Mexico,2013,2136.0,16050.284290000001,595759.0
MEX,Mexico,2014,2134.0,16028.6024,617833.0
MEX,Mexico,2015,2140.0,16231.22549,640610.0
MEX,Mexico,2016,2146.0,16135.64876,671194.0
MEX,Mexico,2017,2148.0,16110.176319999999,
MEX,Mexico,2018,2148.0,16297.70831,
NLD,Netherlands,2000,1464.0,49225.72615,140527.0
NLD,Netherlands,2001,1454.0,49955.543,140377.0
NLD,Netherlands,2002,1436.0,50125.19214,142355.0
NLD,Netherlands,2003,1428.0,50481.04392,141936.0
NLD,Netherlands,2004,1448.0,51286.38932,136553.0
NLD,Netherlands,2005,1434.0,51286.562210000004,136402.0
NLD,Netherlands,2006,1430.0,51186.262760000005,135372.0
NLD,Netherlands,2007,1429.0,51917.498830000004,133022.0
NLD,Netherlands,2008,1429.0,52231.32537,135136.0
NLD,Netherlands,2009,1420.0,54463.953089999995,134235.0
NLD,Netherlands,2010,1420.0,54477.2274,136058.0
NLD,Netherlands,2011,1420.0,54140.29075,135741.0
NLD,Netherlands,2012,1411.0,54362.195470000006,140813.0
NLD,Netherlands,2013,1415.0,54554.965339999995,141245.0
NLD,Netherlands,2014,1426.0,54260.74479,139223.0
NLD,Netherlands,2015,1426.0,54892.58871,147134.0
NLD,Netherlands,2016,1438.0,55131.595,148997.0
NLD,Netherlands,2017,1435.0,54633.796270000006,
NLD,Netherlands,2018,1433.0,54261.68245,
NZL,New Zealand,2000,1836.0,31805.88829,26718.0
NZL,New Zealand,2001,1825.0,32391.389030000002,28128.0
NZL,New Zealand,2002,1826.0,33005.01872,28359.0
NZL,New Zealand,2003,1823.0,34210.660130000004,28061.0
NZL,New Zealand,2004,1830.0,35419.56694,28645.0
NZL,New Zealand,2005,1815.0,36022.33931,27141.0
NZL,New Zealand,2006,1795.0,36253.35587,28389.0
NZL,New Zealand,2007,1774.0,38387.93378,28601.0
NZL,New Zealand,2008,1761.0,37964.81532,29312.0
NZL,New Zealand,2009,1740.0,38433.34987,29204.0
NZL,New Zealand,2010,1755.0,38802.78948,28649.0
NZL,New Zealand,2011,1746.0,38803.58733,30290.0
NZL,New Zealand,2012,1734.0,39621.7161,30277.0
NZL,New Zealand,2013,1752.0,39110.6008,29636.0
NZL,New Zealand,2014,1762.0,39419.08318,31164.0
NZL,New Zealand,2015,1757.0,40255.73092,
NZL,New Zealand,2016,1752.0,41765.002810000005,
NZL,New Zealand,2017,1753.0,41953.58622,
NZL,New Zealand,2018,1756.0,42324.8742,
NOR,Norway,2000,1455.0,35743.8388,44018.0
NOR,Norway,2001,1429.0,36654.2618,43977.0
NOR,Norway,2002,1414.0,38106.65824,44401.0
NOR,Norway,2003,1400.7,38575.29873,42550.0
NOR,Norway,2004,1420.5,39824.1188,41257.0
NOR,Norway,2005,1422.8,40952.3951,41152.0
NOR,Norway,2006,1419.8,42610.461639999994,41242.0
NOR,Norway,2007,1426.0,44498.64523,41963.0
NOR,Norway,2008,1429.5,45529.04313,41716.0
NOR,Norway,2009,1406.8,46005.86336,41342.0
NOR,Norway,2010,1415.3,46594.18608,41442.0
NOR,Norway,2011,1421.1,48180.02342,41304.0
NOR,Norway,2012,1419.7,49465.068510000005,41913.0
NOR,Norway,2013,1408.1,50448.61278,41178.0
NOR,Norway,2014,1426.9,50749.04262,40344.0
NOR,Norway,2015,1423.9,50994.10315,40686.0
NOR,Norway,2016,1424.4,50207.05948,40609.0
NOR,Norway,2017,1419.1,50412.12115,
NOR,Norway,2018,1416.4,50955.82984,
POL,Poland,2000,1863.0,20130.72981,368028.0
POL,Poland,2001,1865.0,21338.88471,363220.0
POL,Poland,2002,1860.0,21281.9734,359486.0
POL,Poland,2003,1865.0,21543.24416,365230.0
POL,Poland,2004,1866.0,21120.48418,363522.0
POL,Poland,2005,1861.0,21062.706309999998,368285.0
POL,Poland,2006,1862.0,21203.08404,369686.0
POL,Poland,2007,1859.0,21878.22485,377226.0
POL,Poland,2008,1852.0,23045.00996,379399.0
POL,Poland,2009,1838.0,22998.959069999997,384940.0
POL,Poland,2010,1834.0,23652.32651,378478.0
POL,Poland,2011,1829.0,23654.20807,375501.0
POL,Poland,2012,1824.0,23445.50559,384788.0
POL,Poland,2013,1821.0,23712.96247,387312.0
POL,Poland,2014,1827.0,24195.84838,376467.0
POL,Poland,2015,1834.0,24726.12542,394921.0
POL,Poland,2016,1836.0,25956.36995,388009.0
POL,Poland,2017,1815.0,27057.957089999996,
POL,Poland,2018,1792.0,29109.043760000004,
PRT,Portugal,2000,1760.0,26532.458319999998,105813.0
PRT,Portugal,2001,1745.0,26648.67269,105582.0
PRT,Portugal,2002,1739.0,26635.800730000003,106690.0
PRT,Portugal,2003,1733.0,26566.29442,109148.0
PRT,Portugal,2004,1738.0,26612.11692,
PRT,Portugal,2005,1740.0,26458.86261,
PRT,Portugal,2006,1729.0,25886.15108,
PRT,Portugal,2007,1745.0,26068.63225,103888.0
PRT,Portugal,2008,1733.0,25983.93756,104768.0
PRT,Portugal,2009,1733.0,27184.23325,104964.0
PRT,Portugal,2010,1735.0,27080.30185,106241.0
PRT,Portugal,2011,1714.0,26436.50017,103200.0
PRT,Portugal,2012,1698.0,25294.18881,107969.0
PRT,Portugal,2013,1707.0,25813.87846,106875.0
PRT,Portugal,2014,1714.0,25360.07583,105219.0
PRT,Portugal,2015,1722.0,25307.314619999997,108922.0
PRT,Portugal,2016,1725.0,25349.78641,110970.0
PRT,Portugal,2017,1727.0,25288.7215,
PRT,Portugal,2018,1722.0,25487.0637,
SVK,Slovak Republic,2000,1816.0,16080.05696,52724.0
SVK,Slovak Republic,2001,1801.0,16068.70649,51980.0
SVK,Slovak Republic,2002,1754.0,16913.183080000003,51532.0
SVK,Slovak Republic,2003,1698.0,17281.80747,52230.0
SVK,Slovak Republic,2004,1742.0,17565.86376,51852.0
SVK,Slovak Republic,2005,1769.0,18706.24278,53475.0
SVK,Slovak Republic,2006,1774.0,19326.07933,53301.0
SVK,Slovak Republic,2007,1791.0,20514.387319999998,53856.0
SVK,Slovak Republic,2008,1793.0,20718.301330000002,53164.0
SVK,Slovak Republic,2009,1780.0,21416.45177,52913.0
SVK,Slovak Republic,2010,1805.0,22359.7881,53445.0
SVK,Slovak Republic,2011,1793.0,22161.14524,
SVK,Slovak Republic,2012,1789.0,21916.80509,52437.0
SVK,Slovak Republic,2013,1772.0,22082.48241,52084.0
SVK,Slovak Republic,2014,1760.0,22510.86712,51345.0
SVK,Slovak Republic,2015,1754.0,23343.97434,
SVK,Slovak Republic,2016,1740.0,24053.05324,
SVK,Slovak Republic,2017,1714.0,24719.50495,
SVK,Slovak Republic,2018,1698.0,25356.68229,
ESP,Spain,2000,1752.8,37250.03769,360391.0
ESP,Spain,2001,1762.5,37242.04997,360131.0
ESP,Spain,2002,1764.6,37517.034569999996,368618.0
ESP,Spain,2003,1755.9,37415.83617,384828.0
ESP,Spain,2004,1741.5,37029.534889999995,371934.0
ESP,Spain,2005,1725.6,37244.82515,387355.0
ESP,Spain,2006,1715.7,37103.76026,371478.0
ESP,Spain,2007,1703.5,37589.70751,385361.0
ESP,Spain,2008,1712.6,39102.30648,386324.0
ESP,Spain,2009,1719.7,41750.911060000006,384933.0
ESP,Spain,2010,1710.4,41034.3406,382047.0
ESP,Spain,2011,1715.5,40452.8193,387911.0
ESP,Spain,2012,1701.2,39301.60485,402950.0
ESP,Spain,2013,1693.5,39391.29533,390419.0
ESP,Spain,2014,1694.6,39397.76735,395830.0
ESP,Spain,2015,1699.6,40087.62768,422568.0
ESP,Spain,2016,1701.5,39860.34697,410611.0
ESP,Spain,2017,1690.2,39073.25047,
ESP,Spain,2018,1701.0,38761.18457,
SWE,Sweden,2000,1500.0,33964.421330000005,93516.0
SWE,Sweden,2001,1478.0,34287.2197,93808.0
SWE,Sweden,2002,1457.0,34808.21921,95071.0
SWE,Sweden,2003,1445.0,35240.4934,93003.0
SWE,Sweden,2004,1467.0,36310.77872,91079.0
SWE,Sweden,2005,1466.0,37018.852269999996,91775.0
SWE,Sweden,2006,1461.0,37913.35899,91271.0
SWE,Sweden,2007,1472.0,39137.0877,91820.0
SWE,Sweden,2008,1477.0,39678.830310000005,91542.0
SWE,Sweden,2009,1470.0,39938.31212,90177.0
SWE,Sweden,2010,1494.0,40175.42479,90519.0
SWE,Sweden,2011,1491.0,40680.56341,89941.0
SWE,Sweden,2012,1478.0,41581.03568,91990.0
SWE,Sweden,2013,1470.0,42015.76064,90505.0
SWE,Sweden,2014,1470.0,42444.08578,89062.0
SWE,Sweden,2015,1471.0,43159.39234,91002.0
SWE,Sweden,2016,1482.0,43735.727419999996,91071.0
SWE,Sweden,2017,1470.0,43987.49039,
SWE,Sweden,2018,1474.0,44196.23945,
CHE,Switzerland,2000,1712.7,55854.0656,62545.0
CHE,Switzerland,2001,1672.8,57936.20704,61283.0
CHE,Switzerland,2002,1651.3,58837.58851,61768.0
CHE,Switzerland,2003,1664.5,58689.685620000004,63070.0
CHE,Switzerland,2004,1695.0,58182.125889999996,60180.0
CHE,Switzerland,2005,1690.0,59064.00909,61124.0
CHE,Switzerland,2006,1679.2,59430.940839999996,60283.0
CHE,Switzerland,2007,1668.9,60304.40854,61089.0
CHE,Switzerland,2008,1659.5,60629.724279999995,61233.0
CHE,Switzerland,2009,1650.8,61856.11395,62431.0
CHE,Switzerland,2010,1624.3,62002.87617,62649.0
CHE,Switzerland,2011,1619.3,62107.93486,62089.0
CHE,Switzerland,2012,1603.2,63207.26367000001,64173.0
CHE,Switzerland,2013,1582.9,64180.862389999995,64961.0
CHE,Switzerland,2014,1575.3,64284.54003,63863.0
