COU,Country,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
QAT,Qatar,141858000000.0,0.0,0.0,168.1355728,0.0,2011
ROU,Romania,169562000000.0,35.9,98.60428619,87.53324934,0.0,2011
RWA,Rwanda,6222456868.0,0.0,0.0,426.26959869999996,0.0,2011
SAU,Saudi Arabia,581011000000.0,0.0,0.0,13.135856799999999,0.0,2011
SDN,Sudan,64342607849.0,0.0,0.0,19.96141204,0.0,2011
SEN,Senegal,16451547989.0,40.3,52.05195999,69.08486989,0.0,2011
SGP,Singapore,251436000000.0,0.0,96.18608093,7363.1930219999995,0.0,2011
SLB,Solomon Islands,771033399.4,0.0,0.0,19.27881386,0.0,2011
SLE,Sierra Leone,2740829819.0,34.0,0.0,91.60005542,0.0,2011
SLV,El Salvador,19151123032.0,42.3,85.49398804,298.86872589999996,0.0,2011
SMR,San Marino,1937142143.0,0.0,0.0,525.0666666999999,0.0,2011
SOM,Somalia,0.0,0.0,0.0,19.77352791,0.0,2011
SRB,Serbia,40013381123.0,0.0,97.96240997,82.7132289,0.0,2011
SSD,South Sudan,0.0,0.0,0.0,0.0,0.0,2011
SUR,Suriname,4624018823.0,0.0,0.0,3.407621795,0.0,2011
SVK,Slovak Republic,92024135539.0,26.5,0.0,112.2605269,0.0,2011
SVN,Slovenia,48325391228.0,24.9,0.0,101.8982937,0.0,2011
SWE,Sweden,502008000000.0,27.6,0.0,23.02776478,0.0,2011
SWZ,Eswatini,4538527974.0,0.0,0.0,71.23593023,0.0,2011
SXM,Sint Maarten (Dutch part),0.0,0.0,0.0,983.3823528999999,0.0,2011
SYC,Seychelles,1046438131.0,0.0,0.0,190.0891304,0.0,2011
TCA,Turks and Caicos Islands,0.0,0.0,0.0,33.40105263,0.0,2011
TCD,Chad,10666537556.0,43.3,0.0,9.759093868999999,0.0,2011
TGO,Togo,3645225926.0,46.0,60.40993881,122.8034933,0.0,2011
THA,Thailand,343970000000.0,37.5,0.0,132.1813502,0.0,2011
TJK,Tajikistan,6059735880.0,0.0,0.0,55.84416262,0.0,2011
TKM,Turkmenistan,25902882089.0,0.0,0.0,11.01028025,0.0,2011
TLS,Timor-Leste,4472146874.0,0.0,0.0,76.09435104,0.0,2011
TON,Tonga,379775900.6,0.0,99.38552856,145.24583330000002,0.0,2011
TTO,Trinidad and Tobago,22092032459.0,0.0,0.0,260.1925926,0.0,2011
TUN,Tunisia,43206394579.0,0.0,79.65390778,69.26793898,0.0,2011
TUR,Turkey,857687000000.0,40.0,94.10608673,95.38278783,0.0,2011
TUV,Tuvalu,34215328.62,0.0,0.0,354.2666667,0.0,2011
TZA,Tanzania,34470432851.0,37.8,0.0,53.70388575,0.0,2011
UGA,Uganda,22082345211.0,0.0,0.0,175.0132057,0.0,2011
UKR,Ukraine,143447000000.0,24.6,0.0,78.89611959,0.0,2011
URY,Uruguay,42364020184.0,42.2,98.33589935,19.34421209,0.0,2011
USA,United States,15224600000000.0,0.0,0.0,34.06206439,0.0,2011
UZB,Uzbekistan,42597390916.0,0.0,0.0,68.96897038,0.0,2011
VCT,St. Vincent and the Grenadines,678369231.8,0.0,0.0,280.3615385,0.0,2011
VGB,British Virgin Islands,0.0,0.0,0.0,186.00666669999998,0.0,2011
VNM,Vietnam,123166000000.0,0.0,0.0,288.4401716,0.0,2011
VUT,Vanuatu,709376703.2,0.0,0.0,19.84175554,0.0,2011
WSM,Samoa,680205473.7,0.0,98.97325897,66.31272085,0.0,2011
XKX,Kosovo,6111058328.0,27.8,0.0,164.508129,0.0,2011
ZAF,South Africa,387677000000.0,0.0,93.10214233,43.08296664,0.0,2011
ZMB,Zambia,21393258427.0,0.0,0.0,19.18879189,0.0,2011
ZWE,Zimbabwe,13750837258.0,43.2,83.58271027,37.18921804,0.0,2011
ABW,Aruba,2439005749.0,0.0,0.0,569.8722222,0.0,2012
AFG,Afghanistan,17954877147.0,0.0,0.0,47.01920473,0.0,2012
AGO,Angola,94115810021.0,0.0,0.0,20.13006337,0.0,2012
ALB,Albania,12404776209.0,29.0,97.24697113,105.85405109999999,0.0,2012
AND,Andorra,3148088243.0,0.0,0.0,175.3851064,0.0,2012
ARG,Argentina,444453000000.0,41.2,99.10523224,15.38235569,0.0,2012
ARM,Armenia,10393595650.0,29.6,0.0,101.2266245,0.0,2012
ASM,American Samoa,552317180.6,0.0,0.0,276.15,0.0,2012
ATG,Antigua and Barbuda,1168080145.0,0.0,0.0,219.9477273,0.0,2012
AUS,Australia,1217930000000.0,0.0,0.0,2.95920037,0.0,2012
AUT,Austria,406092000000.0,30.5,0.0,102.11486540000001,0.0,2012
AZE,Azerbaijan,54102205125.0,0.0,99.77577209,112.4607929,0.0,2012
BDI,Burundi,2208090294.0,0.0,0.0,362.9170561,0.0,2012
BEL,Belgium,493399000000.0,27.5,0.0,366.8075297,0.0,2012
BEN,Benin,7522418418.0,0.0,32.94881821,86.28201490000001,0.0,2012
BFA,Burkina Faso,10192906646.0,0.0,0.0,60.56730994,0.0,2012
BGD,Bangladesh,130735000000.0,0.0,57.86074829,1196.3359679999999,0.0,2012
BGR,Bulgaria,51595167186.0,36.0,0.0,67.2981577,0.0,2012
BHR,Bahrain,27202099524.0,0.0,0.0,1688.593506,0.0,2012
BIH,Bosnia and Herzegovina,17198998442.0,0.0,0.0,71.25390625,0.0,2012
BLR,Belarus,62863508301.0,26.5,0.0,46.6438076,0.0,2012
BLZ,Belize,1468858266.0,0.0,0.0,14.76111355,0.0,2012
BMU,Bermuda,5284137924.0,0.0,0.0,1199.9629419999999,0.0,2012
BOL,Bolivia,21731207275.0,46.6,94.46057129,9.451679129,0.0,2012
BRA,Brazil,2340780000000.0,52.7,91.33785248,23.995887,0.0,2012
BRB,Barbados,4572494459.0,0.0,0.0,654.8488372,0.0,2012
BTN,Bhutan,1797336501.0,38.8,57.03359985,19.75409947,0.0,2012
BWA,Botswana,14164289360.0,0.0,0.0,3.686614437,0.0,2012
CAF,Central African Republic,2135945588.0,0.0,0.0,7.207961732,0.0,2012
CAN,Canada,1693190000000.0,0.0,0.0,3.821466628,0.0,2012
CHE,Switzerland,599638000000.0,31.6,0.0,202.3701995,0.0,2012
CHI,Channel Islands,0.0,0.0,0.0,814.9394252999999,0.0,2012
CHL,Chile,244226000000.0,0.0,0.0,23.2804308,0.0,2012
CHN,China,7207390000000.0,42.2,0.0,143.8713898,0.0,2012
CMR,Cameroon,28460199047.0,0.0,0.0,44.59897823,0.0,2012
COL,Colombia,319157000000.0,52.7,0.0,42.25459667,0.0,2012
COM,Comoros,974502179.3,0.0,49.19614029,388.96720919999996,0.0,2012
CPV,Cabo Verde,1749086512.0,0.0,85.32778931,127.5382134,0.0,2012
CRI,Costa Rica,40738579949.0,48.6,0.0,91.15005875,0.0,2012
CUB,Cuba,68124437665.0,0.0,99.75253296,106.9258103,0.0,2012
CYM,Cayman Islands,0.0,0.0,0.0,239.6791667,0.0,2012
CYP,Cyprus,24926715232.0,34.3,0.0,122.8422078,0.0,2012
CZE,Czech Republic,209477000000.0,26.1,0.0,136.0971773,0.0,2012
DEU,Germany,3559590000000.0,0.0,0.0,230.75062549999998,0.0,2012
DJI,Djibouti,0.0,45.1,0.0,38.01488352,0.0,2012
DMA,Dominica,487502987.6,0.0,0.0,96.05866667,0.0,2012
DNK,Denmark,327039000000.0,27.8,0.0,133.1643725,0.0,2012
DOM,Dominican Republic,57187276664.0,46.1,90.15518188,210.2038915,0.0,2012
DZA,Algeria,171467000000.0,0.0,0.0,15.77243822,0.0,2012
ECU,Ecuador,79261137178.0,46.1,92.06472778,62.08594782,0.0,2012
ERI,Eritrea,0.0,0.0,0.0,0.0,0.0,2012
ESP,Spain,1375820000000.0,35.4,97.89453888,93.50683713,0.0,2012
EST,Estonia,21875027648.0,32.9,0.0,31.20301958,0.0,2012
ETH,Ethiopia,36157859259.0,0.0,0.0,92.444183,0.0,2012
FIN,Finland,250545000000.0,27.1,0.0,17.81556155,0.0,2012
FJI,Fiji,3270985505.0,0.0,0.0,47.81587302,0.0,2012
FRA,France,2709010000000.0,33.1,0.0,119.91407279999999,0.0,2012
FRO,Faroe Islands,0.0,0.0,0.0,34.86102999,0.0,2012
GAB,Gabon,16184310412.0,0.0,82.28379822,6.818089028999999,0.0,2012
GBR,United Kingdom,2529320000000.0,32.3,0.0,263.3005415,0.0,2012
GEO,Georgia,13271494212.0,39.0,0.0,66.91976626,0.0,2012
GHA,Ghana,40104336703.0,42.4,0.0,113.0924189,0.0,2012
GIB,Gibraltar,0.0,0.0,0.0,3362.3,0.0,2012
GIN,Guinea,7666363201.0,33.7,0.0,45.91188751,0.0,2012
GNB,Guinea-Bissau,901976771.6,0.0,0.0,58.25529872,0.0,2012
GNQ,Equatorial Guinea,18805114509.0,0.0,0.0,37.02648841,0.0,2012
GRC,Greece,252163000000.0,36.2,0.0,85.68666408,0.0,2012
GRD,Grenada,767936889.4,0.0,0.0,310.2382353,0.0,2012
GRL,Greenland,2525452961.0,0.0,0.0,0.138409063,0.0,2012
GTM,Guatemala,44337843575.0,0.0,78.26486206,142.5070549,0.0,2012
GUM,Guam,5000301168.0,0.0,0.0,296.2462963,0.0,2012
GUY,Guyana,2517522600.0,0.0,0.0,3.8257099310000005,0.0,2012
HKG,"Hong Kong SAR, China",243721000000.0,0.0,0.0,6809.6190480000005,0.0,2012
HND,Honduras,17125933704.0,56.1,85.35555267,76.01792832,0.0,2012
HRV,Croatia,58268505768.0,32.5,0.0,76.26086490000002,0.0,2012
HUN,Hungary,130922000000.0,30.8,0.0,109.5809345,0.0,2012
IDN,Indonesia,850024000000.0,39.6,0.0,137.3853795,0.0,2012
IMN,Isle of Man,6231815842.0,0.0,0.0,142.8175439,0.0,2012
IND,India,1859660000000.0,0.0,0.0,424.81841119999996,0.0,2012
IRL,Ireland,230820000000.0,33.2,0.0,66.76633764,0.0,2012
IRQ,Iraq,169731000000.0,29.5,0.0,75.46640956,0.0,2012
ISL,Iceland,14121903068.0,26.8,0.0,3.199162095,0.0,2012
ISR,Israel,250536000000.0,41.4,0.0,365.54990760000004,0.0,2012
ITA,Italy,2077060000000.0,35.2,0.0,202.41965390000001,0.0,2012
JAM,Jamaica,13345520232.0,0.0,0.0,262.3261311,0.0,2012
JOR,Jordan,27827651432.0,0.0,97.89031982,90.02672899,0.0,2012
JPN,Japan,5778640000000.0,0.0,0.0,350.09052010000005,0.0,2012
KAZ,Kazakhstan,166635000000.0,28.2,0.0,6.219983331,0.0,2012
KEN,Kenya,44380180300.0,0.0,0.0,76.68873915,0.0,2012
KGZ,Kyrgyz Republic,5075444938.0,27.4,0.0,29.234619399999996,0.0,2012
KHM,Cambodia,12917367180.0,0.0,0.0,83.71213459999998,0.0,2012
KIR,Kiribati,166086149.7,0.0,0.0,131.6209877,0.0,2012
KNA,St. Kitts and Nevis,775346450.5,0.0,0.0,202.2730769,0.0,2012
KWT,Kuwait,134917000000.0,0.0,95.51316833,190.5474747,0.0,2012
LAO,Lao PDR,8318842593.0,36.4,0.0,27.79535962,0.0,2012
LBN,Lebanon,39857674715.0,0.0,0.0,480.5869013,0.0,2012
LBR,Liberia,2334665710.0,0.0,0.0,43.41323713,0.0,2012
LBY,Libya,63275999127.0,0.0,0.0,3.522658195,0.0,2012
LCA,St. Lucia,1421648288.0,0.0,0.0,286.6147541,0.0,2012
LIE,Liechtenstein,0.0,0.0,0.0,228.40625,0.0,2012
LKA,Sri Lanka,67116705113.0,39.2,0.0,325.7056291,0.0,2012
LSO,Lesotho,2676023465.0,0.0,0.0,68.83820817,0.0,2012
LTU,Lithuania,40870192058.0,35.1,0.0,47.67165087,0.0,2012
LUX,Luxembourg,54371319074.0,34.3,0.0,218.4962963,0.0,2012
LVA,Latvia,26293015996.0,35.2,0.0,32.71661306,0.0,2012
MAC,"Macao SAR, China",37379527308.0,0.0,0.0,18813.745759999998,0.0,2012
MAF,St. Martin (French part),0.0,0.0,0.0,569.0992647,0.0,2012
MAR,Morocco,101060000000.0,0.0,69.42539215,74.68919785,0.0,2012
MCO,Monaco,5798543046.0,0.0,0.0,18891.5,0.0,2012
MDA,Moldova,6163345583.0,29.2,99.13831329,124.0380179,0.0,2012
MDG,Madagascar,9125047118.0,42.6,71.57261658,38.40970273,0.0,2012
MDV,Maldives,2880634127.0,0.0,0.0,1287.343333,0.0,2012
MEX,Mexico,1136490000000.0,45.4,94.22840118,62.15607757,0.0,2012
MHL,Marshall Islands,172732723.1,0.0,0.0,292.5722222,0.0,2012
MKD,North Macedonia,9583392749.0,38.1,0.0,82.23774782,0.0,2012
MLI,Mali,10932581179.0,0.0,0.0,13.11817832,0.0,2012
MLT,Malta,9096953642.0,29.4,0.0,1312.5875,0.0,2012
MMR,Myanmar,56146663570.0,0.0,0.0,78.06248794,0.0,2012
MNE,Montenegro,4156311751.0,32.3,0.0,46.14133829,0.0,2012
MNG,Mongolia,9471480158.0,33.8,0.0,1.811469142,0.0,2012
MNP,Northern Mariana Islands,741503722.1,0.0,0.0,116.77826090000002,0.0,2012
MOZ,Mozambique,11659922005.0,0.0,0.0,32.65165187,0.0,2012
MRT,Mauritania,4805046968.0,0.0,0.0,3.7161531,0.0,2012
MUS,Mauritius,10775566009.0,35.8,91.76600647,618.6610837000001,0.0,2012
MWI,Malawi,7435096950.0,0.0,0.0,170.7393403,0.0,2012
MYS,Malaysia,283214000000.0,0.0,0.0,88.78543905,0.0,2012
NAM,Namibia,12456750940.0,0.0,0.0,2.749862138,0.0,2012
NCL,New Caledonia,0.0,0.0,0.0,14.16849015,0.0,2012
NER,Niger,6542344343.0,0.0,30.56039047,13.99829004,0.0,2012
NGA,Nigeria,398833000000.0,0.0,0.0,183.68774109999998,0.0,2012
NIC,Nicaragua,9916789200.0,0.0,0.0,48.83752701,0.0,2012
NLD,Netherlands,850829000000.0,27.6,0.0,496.8849941000001,0.0,2012
NOR,Norway,445095000000.0,25.7,0.0,13.74033034,0.0,2012
NPL,Nepal,17341538638.0,0.0,0.0,192.8840251,0.0,2012
NRU,Nauru,60551234.79,0.0,0.0,513.95,0.0,2012
NZL,New Zealand,154298000000.0,0.0,0.0,16.74110364,0.0,2012
OMN,Oman,63404421326.0,0.0,0.0,11.19432633,0.0,2012
PAK,Pakistan,188675000000.0,0.0,56.76433945,230.7901788,0.0,2012
PAN,Panama,35975676272.0,51.7,0.0,50.75246166,0.0,2012
PER,Peru,166494000000.0,44.4,93.84172821,23.56169219,0.0,2012
PHL,Philippines,220724000000.0,42.2,0.0,324.8705168,0.0,2012
PLW,Palau,199645404.8,0.0,0.0,45.12608696,0.0,2012
PNG,Papua New Guinea,15078295061.0,0.0,0.0,16.4086826,0.0,2012
POL,Poland,511396000000.0,32.4,0.0,124.3000588,0.0,2012
PRI,Puerto Rico,98057290562.0,0.0,0.0,409.75062010000005,0.0,2012
PRT,Portugal,224526000000.0,36.0,0.0,114.8034065,0.0,2012
PRY,Paraguay,28219616269.0,47.6,94.19747162,16.05642839,0.0,2012
PSE,West Bank and Gaza,10649191297.0,0.0,95.90621948,672.242691,0.0,2012
PYF,French Polynesia,0.0,0.0,0.0,74.23579235,0.0,2012
QAT,Qatar,148507000000.0,0.0,0.0,181.70267009999998,0.0,2012
ROU,Romania,173084000000.0,36.5,0.0,87.20126511,0.0,2012
RWA,Rwanda,6771297545.0,0.0,68.33103179999999,437.3268342,0.0,2012
SAU,Saudi Arabia,612452000000.0,0.0,0.0,13.53048905,0.0,2012
SDN,Sudan,64678192683.0,0.0,0.0,20.49370497,0.0,2012
SEN,Senegal,17293438557.0,0.0,0.0,71.17598816,0.0,2012
SGP,Singapore,261703000000.0,0.0,96.36978912,7524.698463,0.0,2012
SLB,Solomon Islands,806157014.5,0.0,0.0,19.70457306,0.0,2012
SLE,Sierra Leone,3156936273.0,0.0,0.0,93.73930452,0.0,2012
SLV,El Salvador,19690049938.0,41.8,0.0,300.2531853,0.0,2012
SMR,San Marino,1790916460.0,0.0,0.0,531.9,0.0,2012
SOM,Somalia,0.0,0.0,0.0,20.34586668,0.0,2012
SRB,Serbia,39607137114.0,0.0,0.0,82.31279442,0.0,2012
SSD,South Sudan,0.0,0.0,0.0,0.0,0.0,2012
SUR,Suriname,4748421116.0,0.0,92.86865997,3.442801282,0.0,2012
SVK,Slovak Republic,93549112293.0,26.1,0.0,112.4517389,0.0,2012
SVN,Slovenia,47035305258.0,25.6,0.0,102.1140519,0.0,2012
SWE,Sweden,500510000000.0,27.6,0.0,23.36960279,0.0,2012
SWZ,Eswatini,4752652121.0,0.0,0.0,72.56732558,0.0,2012
SXM,Sint Maarten (Dutch part),0.0,0.0,0.0,1018.8235289999999,0.0,2012
SYC,Seychelles,1059631924.0,0.0,0.0,191.9630435,0.0,2012
TCA,Turks and Caicos Islands,0.0,0.0,0.0,34.13789474,0.0,2012
TCD,Chad,11614000868.0,0.0,0.0,10.08984673,0.0,2012
TGO,Togo,3883751541.0,0.0,0.0,126.11660230000001,0.0,2012
THA,Thailand,368883000000.0,39.3,0.0,132.7956683,0.0,2012
TJK,Tajikistan,6513378379.0,0.0,0.0,57.12390683,0.0,2012
TKM,Turkmenistan,28778101991.0,0.0,0.0,11.20983764,0.0,2012
TLS,Timor-Leste,4694094125.0,0.0,0.0,77.79152656,0.0,2012
TON,Tonga,383157131.2,0.0,0.0,145.7652778,0.0,2012
TTO,Trinidad and Tobago,22377898712.0,0.0,0.0,261.5181287,0.0,2012
TUN,Tunisia,44933645382.0,0.0,80.21875,70.07381565,0.0,2012
TUR,Turkey,898770000000.0,40.2,94.91974640000001,96.89054091,0.0,2012
TUV,Tuvalu,32902991.3,0.0,0.0,357.5,0.0,2012
TZA,Tanzania,36021655262.0,0.0,78.10059357,55.41092459,0.0,2012
UGA,Uganda,22929745405.0,41.0,70.19821929999999,181.0632156,0.0,2012
UKR,Ukraine,143789000000.0,24.7,99.97434998,78.70140855,0.0,2012
URY,Uruguay,43862934925.0,39.9,98.39594269,19.40793624,0.0,2012
USA,United States,15567000000000.0,0.0,0.0,34.31286833,0.0,2012
UZB,Uzbekistan,46090376971.0,0.0,0.0,69.99177245,0.0,2012
VCT,St. Vincent and the Grenadines,687747146.5,0.0,0.0,280.32820510000005,0.0,2012
VGB,British Virgin Islands,0.0,0.0,0.0,190.06,0.0,2012
VNM,Vietnam,129629000000.0,35.6,0.0,291.7143903,0.0,2012
VUT,Vanuatu,721824490.4,0.0,0.0,20.30229696,0.0,2012
WSM,Samoa,682940604.6,0.0,0.0,66.85300353,0.0,2012
XKX,Kosovo,6287994768.0,29.0,0.0,165.8124369,0.0,2012
ZAF,South Africa,396257000000.0,0.0,93.72946929999999,43.68860761,0.0,2012
ZMB,Zambia,23018636259.0,0.0,0.0,19.77419255,0.0,2012
ZWE,Zimbabwe,16042473246.0,0.0,0.0,38.02720951,0.0,2012
ABW,Aruba,2541400876.0,0.0,0.0,573.2611111,0.0,2013
AFG,Afghanistan,18960483970.0,0.0,0.0,48.6041234,0.0,2013
AGO,Angola,98778862980.0,0.0,0.0,20.85372584,0.0,2013
ALB,Albania,12528823971.0,0.0,0.0,105.660292,0.0,2013
AND,Andorra,3159158338.0,0.0,0.0,171.8893617,0.0,2013
ARG,Argentina,455143000000.0,41.0,99.12194824,15.54429804,0.0,2013
ARM,Armenia,10736584306.0,30.6,0.0,101.63361429999999,0.0,2013
ASM,American Samoa,537092511.0,0.0,0.0,276.535,0.0,2013
ATG,Antigua and Barbuda,1166866906.0,0.0,0.0,222.3272727,0.0,2013
AUS,Australia,1250080000000.0,0.0,0.0,3.0105735260000004,0.0,2013
AUT,Austria,406195000000.0,30.8,0.0,102.7471302,0.0,2013
AZE,Azerbaijan,57238335961.0,0.0,99.78936005,113.9234754,0.0,2013
BDI,Burundi,2316820972.0,38.6,0.0,373.8390187,0.0,2013
BEL,Belgium,494389000000.0,27.7,0.0,368.5405218,0.0,2013
BEN,Benin,8063258962.0,0.0,0.0,88.72340369,0.0,2013
BFA,Burkina Faso,10783339867.0,0.0,0.0,62.40030336,0.0,2013
BGD,Bangladesh,138597000000.0,0.0,61.01554108,1210.5038949999998,0.0,2013
BGR,Bulgaria,51850006769.0,36.6,0.0,66.92257738,0.0,2013
BHR,Bahrain,28675502255.0,0.0,0.0,1708.3259739999999,0.0,2013
BIH,Bosnia and Herzegovina,17603071037.0,0.0,96.99176788,70.41013672,0.0,2013
BLR,Belarus,63494325276.0,26.6,0.0,46.65166793,0.0,2013
BLZ,Belize,1481371978.0,0.0,0.0,15.08903989,0.0,2013
BMU,Bermuda,5151445060.0,0.0,0.0,1203.722201,0.0,2013
BOL,Bolivia,23208062665.0,47.6,0.0,9.600539094,0.0,2013
BRA,Brazil,2411120000000.0,52.8,91.48423767,24.21694683,0.0,2013
BRB,Barbados,4572907997.0,0.0,0.0,656.9976744,0.0,2013
BTN,Bhutan,1835844374.0,0.0,0.0,20.06876223,0.0,2013
BWA,Botswana,15771004795.0,0.0,0.0,3.755769061,0.0,2013
CAF,Central African Republic,1352054573.0,0.0,0.0,7.222788854,0.0,2013
CAN,Canada,1735100000000.0,34.0,0.0,3.865654736,0.0,2013
CHE,Switzerland,610743000000.0,32.5,0.0,204.7106438,0.0,2013
CHI,Channel Islands,0.0,0.0,0.0,819.0909407,0.0,2013
CHL,Chile,254105000000.0,47.3,96.26705933,23.48652279,0.0,2013
CHN,China,7766510000000.0,39.7,0.0,144.583453,0.0,2013
CMR,Cameroon,29998263825.0,0.0,0.0,45.81184024,0.0,2013
COL,Colombia,333733000000.0,52.8,0.0,42.67055521,0.0,2013
COM,Comoros,1018353552.0,45.3,0.0,398.4416849,0.0,2013
CPV,Cabo Verde,1763128136.0,0.0,0.0,129.0585608,0.0,2013
CRI,Costa Rica,41662949490.0,49.3,0.0,92.17393263,0.0,2013
CUB,Cuba,69996226460.0,0.0,0.0,109.50073880000001,0.0,2013
CYM,Cayman Islands,0.0,0.0,0.0,243.2125,0.0,2013
CYP,Cyprus,23481139073.0,37.0,0.0,123.79826840000001,0.0,2013
CZE,Czech Republic,208464000000.0,26.5,0.0,136.15995859999998,0.0,2013
DEU,Germany,3577010000000.0,31.1,0.0,231.15571260000002,0.0,2013
DJI,Djibouti,0.0,44.1,0.0,38.68369284,0.0,2013
DMA,Dominica,484540472.0,0.0,0.0,96.53333333,0.0,2013
DNK,Denmark,330091000000.0,28.5,0.0,133.7206954,0.0,2013
DOM,Dominican Republic,59975273688.0,47.7,90.85814667,212.81920930000004,0.0,2013
DZA,Algeria,176212000000.0,0.0,0.0,16.0968712,0.0,2013
ECU,Ecuador,83181798259.0,46.9,93.29463196,63.05986069,0.0,2013
ERI,Eritrea,0.0,0.0,0.0,0.0,0.0,2013
ESP,Spain,1352360000000.0,36.2,98.07913208,93.20094559999998,0.0,2013
EST,Estonia,22298647062.0,35.1,0.0,30.31969174,0.0,2013
ETH,Ethiopia,39984181569.0,0.0,0.0,94.887724,0.0,2013
FIN,Finland,248646000000.0,27.2,0.0,17.89783145,0.0,2013
FJI,Fiji,3425841169.0,36.7,0.0,48.15079365,0.0,2013
FRA,France,2724620000000.0,32.5,0.0,120.5329508,0.0,2013
FRO,Faroe Islands,0.0,0.0,0.0,34.91905291,0.0,2013
GAB,Gabon,17096894962.0,0.0,0.0,7.052706951,0.0,2013
GBR,United Kingdom,2581080000000.0,33.2,0.0,265.06934240000004,0.0,2013
GEO,Georgia,13721005572.0,38.6,0.0,66.06249344,0.0,2013
GHA,Ghana,43036976359.0,0.0,0.0,115.7873385,0.0,2013
GIB,Gibraltar,0.0,0.0,0.0,3383.1,0.0,2013
GIN,Guinea,7968018035.0,0.0,0.0,46.95024825,0.0,2013
GNB,Guinea-Bissau,931344271.8,0.0,0.0,59.79711949,0.0,2013
GNQ,Equatorial Guinea,18027861798.0,0.0,0.0,38.63622103,0.0,2013
GRC,Greece,243990000000.0,36.1,0.0,85.06757952,0.0,2013
GRD,Grenada,785994301.6,0.0,0.0,311.4970588,0.0,2013
GRL,Greenland,2482655003.0,0.0,0.0,0.13761237699999998,0.0,2013
GTM,Guatemala,45977273284.0,0.0,77.03867340000001,145.5413774,0.0,2013
GUM,Guam,5091562180.0,0.0,0.0,296.99074069999995,0.0,2013
GUY,Guyana,2643412954.0,0.0,0.0,3.8510591819999997,0.0,2013
HKG,"Hong Kong SAR, China",251280000000.0,0.0,0.0,6837.047619,0.0,2013
HND,Honduras,17604014377.0,52.6,85.4644165,77.37764769,0.0,2013
HRV,Croatia,57981971089.0,32.0,0.0,76.04876698,0.0,2013
HUN,Hungary,133663000000.0,31.5,0.0,109.2795979,0.0,2013
IDN,Indonesia,897262000000.0,39.9,0.0,139.1236679,0.0,2013
IMN,Isle of Man,6512247555.0,0.0,0.0,143.88245609999998,0.0,2013
IND,India,1978420000000.0,0.0,0.0,430.030441,0.0,2013
IRL,Ireland,233906000000.0,33.5,0.0,67.11882712,0.0,2013
IRQ,Iraq,182630000000.0,0.0,43.68328094,78.04874228,0.0,2013
ISL,Iceland,14705681513.0,25.4,0.0,3.229566085,0.0,2013
ISR,Israel,260919000000.0,0.0,0.0,372.43530499999997,0.0,2013
ITA,Italy,2041170000000.0,34.9,0.0,204.77985990000002,0.0,2013
JAM,Jamaica,13412757292.0,0.0,0.0,263.3247461,0.0,2013
JOR,Jordan,28614830798.0,0.0,0.0,94.76756026,0.0,2013
JPN,Japan,5894230000000.0,0.0,0.0,349.5858021,0.0,2013
KAZ,Kazakhstan,176633000000.0,27.1,0.0,6.310164092000001,0.0,2013
KEN,Kenya,46989149335.0,0.0,0.0,78.76242928,0.0,2013
KGZ,Kyrgyz Republic,5629453576.0,28.8,0.0,29.82064651,0.0,2013
KHM,Cambodia,13867654630.0,0.0,0.0,85.10475867,0.0,2013
KIR,Kiribati,173086305.5,0.0,0.0,133.9938272,0.0,2013
KNA,St. Kitts and Nevis,817726686.0,0.0,0.0,204.49615380000003,0.0,2013
KWT,Kuwait,136467000000.0,0.0,95.58582306,201.9295735,0.0,2013
LAO,Lao PDR,8986537875.0,0.0,0.0,28.13932842,0.0,2013
LBN,Lebanon,40914960465.0,0.0,0.0,515.7479961,0.0,2013
LBR,Liberia,2537875669.0,0.0,0.0,44.50052949,0.0,2013
LBY,Libya,54670463262.0,0.0,0.0,3.521357855,0.0,2013
LCA,St. Lucia,1402836982.0,0.0,0.0,287.9672131,0.0,2013
LIE,Liechtenstein,0.0,0.0,0.0,230.2125,0.0,2013
LKA,Sri Lanka,69395808983.0,0.0,0.0,328.2570563,0.0,2013
LSO,Lesotho,2725363040.0,0.0,0.0,69.74179842,0.0,2013
LTU,Lithuania,42300068778.0,35.3,0.0,47.19088951,0.0,2013
LUX,Luxembourg,56358248456.0,32.0,0.0,223.6049383,0.0,2013
LVA,Latvia,26931897162.0,35.5,0.0,32.36287184,0.0,2013
MAC,"Macao SAR, China",41566105563.0,0.0,0.0,19004.65364,0.0,2013
MAF,St. Martin (French part),0.0,0.0,0.0,574.7058824,0.0,2013
MAR,Morocco,105643000000.0,39.5,0.0,75.78930988,0.0,2013
MCO,Monaco,6353509934.0,0.0,0.0,18985.5,0.0,2013
MDA,Moldova,6742700074.0,28.5,0.0,123.9184455,0.0,2013
MDG,Madagascar,9330835549.0,0.0,0.0,39.46570299,0.0,2013
MDV,Maldives,3090375229.0,0.0,0.0,1324.656667,0.0,2013
MEX,Mexico,1151880000000.0,0.0,93.96285248,63.03452712,0.0,2013
MHL,Marshall Islands,177673015.8,0.0,0.0,293.2944444,0.0,2013
MKD,North Macedonia,9863680783.0,36.2,0.0,82.30527359,0.0,2013
MLI,Mali,11184422458.0,0.0,0.0,13.50430507,0.0,2013
